1. Month: 37,0, Interest: 2,5, Principal: 34,5, Loan amount: 1000,00
2. Month: 37,0, Interest: 2,4, Principal: 34,6, Loan amount: 965,48
3. Month: 37,0, Interest: 2,3, Principal: 34,7, Loan amount: 930,87
4. Month: 37,0, Interest: 2,2, Principal: 34,8, Loan amount: 896,17
5. Month: 37,0, Interest: 2,2, Principal: 34,9, Loan amount: 861,39
6. Month: 37,0, Interest: 2,1, Principal: 35,0, Loan amount: 826,52
7. Month: 37,0, Interest: 2,0, Principal: 35,0, Loan amount: 791,56
8. Month: 37,0, Interest: 1,9, Principal: 35,1, Loan amount: 756,52
9. Month: 37,0, Interest: 1,8, Principal: 35,2, Loan amount: 721,38
10. Month: 37,0, Interest: 1,7, Principal: 35,3, Loan amount: 686,16
11. Month: 37,0, Interest: 1,6, Principal: 35,4, Loan amount: 650,86
12. Month: 37,0, Interest: 1,5, Principal: 35,5, Loan amount: 615,46
13. Month: 37,0, Interest: 1,4, Principal: 35,6, Loan amount: 579,97
14. Month: 37,0, Interest: 1,4, Principal: 35,7, Loan amount: 544,40
15. Month: 37,0, Interest: 1,3, Principal: 35,8, Loan amount: 508,74
16. Month: 37,0, Interest: 1,2, Principal: 35,8, Loan amount: 472,99
17. Month: 37,0, Interest: 1,1, Principal: 35,9, Loan amount: 437,15
18. Month: 37,0, Interest: 1,0, Principal: 36,0, Loan amount: 401,21
19. Month: 37,0, Interest: 0,9, Principal: 36,1, Loan amount: 365,19
20. Month: 37,0, Interest: 0,8, Principal: 36,2, Loan amount: 329,08
21. Month: 37,0, Interest: 0,7, Principal: 36,3, Loan amount: 292,88
22. Month: 37,0, Interest: 0,6, Principal: 36,4, Loan amount: 256,59
23. Month: 37,0, Interest: 0,6, Principal: 36,5, Loan amount: 220,21
24. Month: 37,0, Interest: 0,5, Principal: 36,6, Loan amount: 183,74
25. Month: 37,0, Interest: 0,4, Principal: 36,7, Loan amount: 147,17
26. Month: 37,0, Interest: 0,3, Principal: 36,7, Loan amount: 110,52
27. Month: 37,0, Interest: 0,2, Principal: 36,8, Loan amount: 73,77
28. Month: 37,0, Interest: 0,1, Principal: 36,9, Loan amount: 36,93
